platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
PMEM,nt,write,sequential,8,131072,14336,114688,1383110,10,723.008
PMEM,nt,write,sequential,8,135168,14336,111212,1659739,12,602.504
PMEM,nt,write,sequential,8,1048576,14336,14336,1380913,10,724.158
PMEM,nt,write,sequential,8,1052672,14336,14280,1709428,13,584.991
PMEM,nt,write,sequential,16,131072,14336,114688,1386452,21,721.265
PMEM,nt,write,sequential,16,135168,14336,111212,1606906,24,622.314
PMEM,nt,write,sequential,16,1048576,14336,14336,1382646,21,723.25
PMEM,nt,write,sequential,16,1052672,14336,14280,1717215,26,582.338
PMEM,nt,write,sequential,32,131072,14336,114688,1384093,42,722.494
PMEM,nt,write,sequential,32,135168,14336,111212,1581276,48,632.4
PMEM,nt,write,sequential,32,1048576,14336,14336,1384695,42,722.181
PMEM,nt,write,sequential,32,1052672,14336,14280,1704361,52,586.73
PMEM,nt,write,sequential,64,131072,14336,114688,1962119,119,509.653
PMEM,nt,write,sequential,64,135168,14336,111212,3071775,187,325.545
PMEM,nt,write,sequential,64,1048576,14336,14336,1909572,116,523.677
PMEM,nt,write,sequential,64,1052672,14336,14280,3250530,198,307.642
PMEM,nt,write,sequential,128,131072,14336,114688,1932734,235,517.402
PMEM,nt,write,sequential,128,135168,14336,111212,2957136,360,338.165
PMEM,nt,write,sequential,128,1048576,14336,14336,1883893,229,530.816
PMEM,nt,write,sequential,128,1052672,14336,14280,3175708,387,314.89
PMEM,nt,write,sequential,256,131072,14336,114688,1727340,421,578.925
PMEM,nt,write,sequential,256,135168,14336,111212,2858532,697,349.83
PMEM,nt,write,sequential,256,1048576,14336,14336,1709013,417,585.133
PMEM,nt,write,sequential,256,1052672,14336,14280,2973272,725,336.33
PMEM,nt,write,sequential,512,131072,14336,114688,1546893,755,646.457
PMEM,nt,write,sequential,512,135168,14336,111212,2684170,1310,372.555
PMEM,nt,write,sequential,512,1048576,14336,14336,1524820,744,655.815
PMEM,nt,write,sequential,512,1052672,14336,14280,2762293,1348,362.018
PMEM,nt,write,sequential,1024,131072,14336,114688,1286890,1256,777.067
PMEM,nt,write,sequential,1024,135168,14336,111212,2251825,2199,444.084
PMEM,nt,write,sequential,1024,1048576,14336,14336,1280555,1250,780.911
PMEM,nt,write,sequential,1024,1052672,14336,14280,2297292,2243,435.295
PMEM,nt,write,sequential,2048,131072,14336,114688,703991,1374,1420.47
PMEM,nt,write,sequential,2048,135168,14336,111212,1264192,2469,791.019
PMEM,nt,write,sequential,2048,1048576,14336,14336,699535,1366,1429.52
PMEM,nt,write,sequential,2048,1052672,14336,14280,1274131,2488,784.848
PMEM,nt,write,sequential,4096,131072,14336,114688,634471,2478,1576.12
PMEM,nt,write,sequential,4096,135168,14336,111212,806030,3148,1240.65
PMEM,nt,write,sequential,4096,1048576,14336,14336,634797,2479,1575.31
PMEM,nt,write,sequential,4096,1052672,14336,14280,806820,3151,1239.43
PMEM,nt,write,sequential,8192,131072,14336,114688,443347,3463,2255.57
PMEM,nt,write,sequential,8192,135168,14336,111212,397813,3107,2513.74
PMEM,nt,write,sequential,8192,1048576,14336,14336,413092,3227,2420.77
PMEM,nt,write,sequential,8192,1052672,14336,14280,392402,3065,2548.41
PMEM,nt,write,sequential,16384,131072,14336,114688,214479,3351,4662.46
PMEM,nt,write,sequential,16384,135168,14336,111212,223094,3485,4482.4
PMEM,nt,write,sequential,16384,1048576,14336,14336,245212,3831,4078.1
PMEM,nt,write,sequential,16384,1052672,14336,14280,235641,3681,4243.74
PMEM,nt,write,sequential,32768,131072,14336,114688,125410,3919,7973.81
PMEM,nt,write,sequential,32768,135168,14336,111212,118204,3693,8459.94
PMEM,nt,write,sequential,32768,1048576,14336,14336,120516,3766,8297.62
PMEM,nt,write,sequential,32768,1052672,14336,14280,117502,3671,8510.43
PMEM,nt,write,sequential,65536,131072,14336,114688,62294,3893,16052.9
PMEM,nt,write,sequential,65536,135168,14336,111212,61168,3823,16348.2
PMEM,nt,write,sequential,65536,1048576,14336,14336,63784,3986,15677.7
PMEM,nt,write,sequential,65536,1052672,14336,14280,63954,3997,15636
PMEM,t,write,sequential,8,131072,14336,114688,1619976,12,617.293
PMEM,t,write,sequential,8,135168,14336,111212,2661628,20,375.71
PMEM,t,write,sequential,8,1048576,14336,14336,1593029,12,627.735
PMEM,t,write,sequential,8,1052672,14336,14280,2654193,20,376.762
PMEM,t,write,sequential,16,131072,14336,114688,1620535,24,617.08
PMEM,t,write,sequential,16,135168,14336,111212,2658843,40,376.103
PMEM,t,write,sequential,16,1048576,14336,14336,1593118,24,627.7
PMEM,t,write,sequential,16,1052672,14336,14280,2645392,40,378.016
PMEM,t,write,sequential,32,131072,14336,114688,1620598,49,617.056
PMEM,t,write,sequential,32,135168,14336,111212,2661504,81,375.727
PMEM,t,write,sequential,32,1048576,14336,14336,1596333,48,626.436
PMEM,t,write,sequential,32,1052672,14336,14280,2612902,79,382.716
PMEM,t,write,sequential,64,131072,14336,114688,1959934,119,510.221
PMEM,t,write,sequential,64,135168,14336,111212,3192107,194,313.273
PMEM,t,write,sequential,64,1048576,14336,14336,1925733,117,519.283
PMEM,t,write,sequential,64,1052672,14336,14280,3193445,194,313.141
PMEM,t,write,sequential,128,131072,14336,114688,1930014,235,518.131
PMEM,t,write,sequential,128,135168,14336,111212,2629695,321,380.272
PMEM,t,write,sequential,128,1048576,14336,14336,1903995,232,525.211
PMEM,t,write,sequential,128,1052672,14336,14280,2557578,312,390.995
PMEM,t,write,sequential,256,131072,14336,114688,1630761,398,613.21
PMEM,t,write,sequential,256,135168,14336,111212,2398590,585,416.911
PMEM,t,write,sequential,256,1048576,14336,14336,1605766,392,622.756
PMEM,t,write,sequential,256,1052672,14336,14280,2393362,584,417.822
PMEM,t,write,sequential,512,131072,14336,114688,1185261,578,843.696
PMEM,t,write,sequential,512,135168,14336,111212,1500365,732,666.504
PMEM,t,write,sequential,512,1048576,14336,14336,1180276,576,847.259
PMEM,t,write,sequential,512,1052672,14336,14280,1520769,742,657.562
PMEM,t,write,sequential,1024,131072,14336,114688,857708,837,1165.9
PMEM,t,write,sequential,1024,135168,14336,111212,1176477,1148,849.995
PMEM,t,write,sequential,1024,1048576,14336,14336,862896,842,1158.89
PMEM,t,write,sequential,1024,1052672,14336,14280,1193204,1165,838.079
PMEM,t,write,sequential,2048,131072,14336,114688,543268,1061,1840.71
PMEM,t,write,sequential,2048,135168,14336,111212,753781,1472,1326.64
PMEM,t,write,sequential,2048,1048576,14336,14336,537962,1050,1858.86
PMEM,t,write,sequential,2048,1052672,14336,14280,750149,1465,1333.07
PMEM,t,write,sequential,4096,131072,14336,114688,374739,1463,2668.52
PMEM,t,write,sequential,4096,135168,14336,111212,424421,1657,2356.15
PMEM,t,write,sequential,4096,1048576,14336,14336,370231,1446,2701.01
PMEM,t,write,sequential,4096,1052672,14336,14280,429691,1678,2327.25
PMEM,t,write,sequential,8192,131072,14336,114688,227744,1779,4390.88
PMEM,t,write,sequential,8192,135168,14336,111212,203998,1593,4901.99
PMEM,t,write,sequential,8192,1048576,14336,14336,218223,1704,4582.46
PMEM,t,write,sequential,8192,1052672,14336,14280,205489,1605,4866.44
PMEM,t,write,sequential,16384,131072,14336,114688,118060,1844,8470.23
PMEM,t,write,sequential,16384,135168,14336,111212,112165,1752,8915.4
PMEM,t,write,sequential,16384,1048576,14336,14336,117137,1830,8536.98
PMEM,t,write,sequential,16384,1052672,14336,14280,111401,1740,8976.51
PMEM,t,write,sequential,32768,131072,14336,114688,59703,1865,16749.5
PMEM,t,write,sequential,32768,135168,14336,111212,58287,1821,17156.3
PMEM,t,write,sequential,32768,1048576,14336,14336,59445,1857,16822.1
PMEM,t,write,sequential,32768,1052672,14336,14280,58290,1821,17155.4
PMEM,t,write,sequential,65536,131072,14336,114688,28646,1790,34908.8
PMEM,t,write,sequential,65536,135168,14336,111212,28343,1771,35282.1
PMEM,t,write,sequential,65536,1048576,14336,14336,28576,1786,34993.9
PMEM,t,write,sequential,65536,1052672,14336,14280,28294,1768,35342.1
PMEM,nt,write,random,8,131072,14336,114688,1476188,11,677.42
PMEM,nt,write,random,8,135168,14336,111212,1700862,12,587.937
PMEM,nt,write,random,8,1048576,14336,14336,1471088,11,679.769
PMEM,nt,write,random,8,1052672,14336,14280,1736280,13,575.944
PMEM,nt,write,random,16,131072,14336,114688,1477198,22,676.957
PMEM,nt,write,random,16,135168,14336,111212,1704074,26,586.829
PMEM,nt,write,random,16,1048576,14336,14336,1471155,22,679.738
PMEM,nt,write,random,16,1052672,14336,14280,1755069,26,569.778
PMEM,nt,write,random,32,131072,14336,114688,1476736,45,677.169
PMEM,nt,write,random,32,135168,14336,111212,1705044,52,586.495
PMEM,nt,write,random,32,1048576,14336,14336,1474875,45,678.023
PMEM,nt,write,random,32,1052672,14336,14280,1754165,53,570.072
PMEM,nt,write,random,64,131072,14336,114688,1962061,119,509.668
PMEM,nt,write,random,64,135168,14336,111212,3172570,193,315.202
PMEM,nt,write,random,64,1048576,14336,14336,1919590,117,520.944
PMEM,nt,write,random,64,1052672,14336,14280,3214500,196,311.09
PMEM,nt,write,random,128,131072,14336,114688,1924217,234,519.692
PMEM,nt,write,random,128,135168,14336,111212,3048346,372,328.047
PMEM,nt,write,random,128,1048576,14336,14336,1870423,228,534.638
PMEM,nt,write,random,128,1052672,14336,14280,3074917,375,325.212
PMEM,nt,write,random,256,131072,14336,114688,1720320,420,581.287
PMEM,nt,write,random,256,135168,14336,111212,2819086,688,354.725
PMEM,nt,write,random,256,1048576,14336,14336,1683201,410,594.106
PMEM,nt,write,random,256,1052672,14336,14280,2870489,700,348.373
PMEM,nt,write,random,512,131072,14336,114688,1544197,754,647.586
PMEM,nt,write,random,512,135168,14336,111212,2570276,1255,389.063
PMEM,nt,write,random,512,1048576,14336,14336,1520457,742,657.697
PMEM,nt,write,random,512,1052672,14336,14280,2602348,1270,384.268
PMEM,nt,write,random,1024,131072,14336,114688,1282085,1252,779.979
PMEM,nt,write,random,1024,135168,14336,111212,2018737,1971,495.359
PMEM,nt,write,random,1024,1048576,14336,14336,1255865,1226,796.264
PMEM,nt,write,random,1024,1052672,14336,14280,2020824,1973,494.848
PMEM,nt,write,random,2048,131072,14336,114688,702704,1372,1423.07
PMEM,nt,write,random,2048,135168,14336,111212,1071337,2092,933.413
PMEM,nt,write,random,2048,1048576,14336,14336,698041,1363,1432.58
PMEM,nt,write,random,2048,1052672,14336,14280,1077303,2104,928.244
PMEM,nt,write,random,4096,131072,14336,114688,634074,2476,1577.1
PMEM,nt,write,random,4096,135168,14336,111212,702404,2743,1423.68
PMEM,nt,write,random,4096,1048576,14336,14336,636319,2485,1571.54
PMEM,nt,write,random,4096,1052672,14336,14280,720911,2816,1387.13
PMEM,nt,write,random,8192,131072,14336,114688,443115,3461,2256.75
PMEM,nt,write,random,8192,135168,14336,111212,416032,3250,2403.66
PMEM,nt,write,random,8192,1048576,14336,14336,412144,3219,2426.33
PMEM,nt,write,random,8192,1052672,14336,14280,400610,3129,2496.19
PMEM,nt,write,random,16384,131072,14336,114688,213548,3336,4682.78
PMEM,nt,write,random,16384,135168,14336,111212,223150,3486,4481.28
PMEM,nt,write,random,16384,1048576,14336,14336,245895,3842,4066.76
PMEM,nt,write,random,16384,1052672,14336,14280,238170,3721,4198.67
PMEM,nt,write,random,32768,131072,14336,114688,125073,3908,7995.31
PMEM,nt,write,random,32768,135168,14336,111212,119552,3736,8364.56
PMEM,nt,write,random,32768,1048576,14336,14336,121415,3794,8236.19
PMEM,nt,write,random,32768,1052672,14336,14280,118836,3713,8414.93
PMEM,nt,write,random,65536,131072,14336,114688,63130,3945,15840.2
PMEM,nt,write,random,65536,135168,14336,111212,61117,3819,16362
PMEM,nt,write,random,65536,1048576,14336,14336,64739,4046,15446.6
PMEM,nt,write,random,65536,1052672,14336,14280,64854,4053,15419.1
PMEM,t,write,random,8,131072,14336,114688,1622120,12,616.477
PMEM,t,write,random,8,135168,14336,111212,2642202,20,378.472
PMEM,t,write,random,8,1048576,14336,14336,1599810,12,625.074
PMEM,t,write,random,8,1052672,14336,14280,2627132,20,380.643
PMEM,t,write,random,16,131072,14336,114688,1621268,24,616.801
PMEM,t,write,random,16,135168,14336,111212,2626217,40,380.776
PMEM,t,write,random,16,1048576,14336,14336,1601243,24,624.515
PMEM,t,write,random,16,1052672,14336,14280,2639713,40,378.829
PMEM,t,write,random,32,131072,14336,114688,1620597,49,617.056
PMEM,t,write,random,32,135168,14336,111212,2649371,80,377.448
PMEM,t,write,random,32,1048576,14336,14336,1595052,48,626.939
PMEM,t,write,random,32,1052672,14336,14280,2662159,81,375.635
PMEM,t,write,random,64,131072,14336,114688,1959609,119,510.306
PMEM,t,write,random,64,135168,14336,111212,3155020,192,316.955
PMEM,t,write,random,64,1048576,14336,14336,1933306,117,517.249
PMEM,t,write,random,64,1052672,14336,14280,3154467,192,317.011
PMEM,t,write,random,128,131072,14336,114688,1907383,232,524.278
PMEM,t,write,random,128,135168,14336,111212,2532462,309,394.873
PMEM,t,write,random,128,1048576,14336,14336,1874605,228,533.446
PMEM,t,write,random,128,1052672,14336,14280,2535119,309,394.459
PMEM,t,write,random,256,131072,14336,114688,1619962,395,617.298
PMEM,t,write,random,256,135168,14336,111212,2275451,555,439.473
PMEM,t,write,random,256,1048576,14336,14336,1607695,392,622.008
PMEM,t,write,random,256,1052672,14336,14280,2272664,554,440.012
PMEM,t,write,random,512,131072,14336,114688,1225506,598,815.989
PMEM,t,write,random,512,135168,14336,111212,1574941,769,634.944
PMEM,t,write,random,512,1048576,14336,14336,1226725,598,815.178
PMEM,t,write,random,512,1052672,14336,14280,1600144,781,624.944
PMEM,t,write,random,1024,131072,14336,114688,863731,843,1157.77
PMEM,t,write,random,1024,135168,14336,111212,1158979,1131,862.828
PMEM,t,write,random,1024,1048576,14336,14336,865388,845,1155.55
PMEM,t,write,random,1024,1052672,14336,14280,1158221,1131,863.393
PMEM,t,write,random,2048,131072,14336,114688,541864,1058,1845.48
PMEM,t,write,random,2048,135168,14336,111212,678545,1325,1473.74
PMEM,t,write,random,2048,1048576,14336,14336,540089,1054,1851.55
PMEM,t,write,random,2048,1052672,14336,14280,682793,1333,1464.57
PMEM,t,write,random,4096,131072,14336,114688,373625,1459,2676.47
PMEM,t,write,random,4096,135168,14336,111212,389609,1521,2566.67
PMEM,t,write,random,4096,1048576,14336,14336,373117,1457,2680.12
PMEM,t,write,random,4096,1052672,14336,14280,389201,1520,2569.36
PMEM,t,write,random,8192,131072,14336,114688,227627,1778,4393.15
PMEM,t,write,random,8192,135168,14336,111212,216581,1692,4617.2
PMEM,t,write,random,8192,1048576,14336,14336,218905,1710,4568.19
PMEM,t,write,random,8192,1052672,14336,14280,215536,1683,4639.59
PMEM,t,write,random,16384,131072,14336,114688,117519,1836,8509.2
PMEM,t,write,random,16384,135168,14336,111212,114635,1791,8723.29
PMEM,t,write,random,16384,1048576,14336,14336,117084,1829,8540.87
PMEM,t,write,random,16384,1052672,14336,14280,114741,1792,8715.26
PMEM,t,write,random,32768,131072,14336,114688,59499,1859,16806.8
PMEM,t,write,random,32768,135168,14336,111212,58673,1833,17043.6
PMEM,t,write,random,32768,1048576,14336,14336,59408,1856,16832.7
PMEM,t,write,random,32768,1052672,14336,14280,58641,1832,17052.8
PMEM,t,write,random,65536,131072,14336,114688,28609,1788,34952.9
PMEM,t,write,random,65536,135168,14336,111212,28473,1779,35120.9
PMEM,t,write,random,65536,1048576,14336,14336,28624,1789,34935
PMEM,t,write,random,65536,1052672,14336,14280,28381,1773,35234.5
PMEM,nt,read,sequential,8,131072,14336,114688,2547080,19,392.606
PMEM,nt,read,sequential,8,135168,14336,111212,2659568,20,376.001
PMEM,nt,read,sequential,8,1048576,14336,14336,2517692,19,397.189
PMEM,nt,read,sequential,8,1052672,14336,14280,2558550,19,390.846
PMEM,nt,read,sequential,16,131072,14336,114688,2541512,38,393.466
PMEM,nt,read,sequential,16,135168,14336,111212,2468111,37,405.168
PMEM,nt,read,sequential,16,1048576,14336,14336,2459589,37,406.572
PMEM,nt,read,sequential,16,1052672,14336,14280,2570749,39,388.992
PMEM,nt,read,sequential,32,131072,14336,114688,2508421,76,398.657
PMEM,nt,read,sequential,32,135168,14336,111212,2640821,80,378.67
PMEM,nt,read,sequential,32,1048576,14336,14336,2515384,76,397.554
PMEM,nt,read,sequential,32,1052672,14336,14280,2190821,66,456.45
PMEM,nt,read,sequential,64,131072,14336,114688,2523312,154,396.305
PMEM,nt,read,sequential,64,135168,14336,111212,2645070,161,378.062
PMEM,nt,read,sequential,64,1048576,14336,14336,2499535,152,400.074
PMEM,nt,read,sequential,64,1052672,14336,14280,2489639,151,401.665
PMEM,nt,read,sequential,128,131072,14336,114688,2347494,286,425.986
PMEM,nt,read,sequential,128,135168,14336,111212,2472416,301,404.463
PMEM,nt,read,sequential,128,1048576,14336,14336,2293373,279,436.039
PMEM,nt,read,sequential,128,1052672,14336,14280,2360532,288,423.633
PMEM,nt,read,sequential,256,131072,14336,114688,2324014,567,430.29
PMEM,nt,read,sequential,256,135168,14336,111212,2250361,549,444.373
PMEM,nt,read,sequential,256,1048576,14336,14336,2296598,560,435.427
PMEM,nt,read,sequential,256,1052672,14336,14280,2338549,570,427.615
PMEM,nt,read,sequential,512,131072,14336,114688,2195788,1072,455.417
PMEM,nt,read,sequential,512,135168,14336,111212,2251347,1099,444.178
PMEM,nt,read,sequential,512,1048576,14336,14336,2126694,1038,470.213
PMEM,nt,read,sequential,512,1052672,14336,14280,1965417,959,508.798
PMEM,nt,read,sequential,1024,131072,14336,114688,1793937,1751,557.433
PMEM,nt,read,sequential,1024,135168,14336,111212,1935007,1889,516.794
PMEM,nt,read,sequential,1024,1048576,14336,14336,1783822,1742,560.594
PMEM,nt,read,sequential,1024,1052672,14336,14280,1927149,1881,518.901
PMEM,nt,read,sequential,2048,131072,14336,114688,1202459,2348,831.629
PMEM,nt,read,sequential,2048,135168,14336,111212,1199918,2343,833.39
PMEM,nt,read,sequential,2048,1048576,14336,14336,1191078,2326,839.575
PMEM,nt,read,sequential,2048,1052672,14336,14280,1226721,2395,815.181
PMEM,nt,read,sequential,4096,131072,14336,114688,681267,2661,1467.85
PMEM,nt,read,sequential,4096,135168,14336,111212,674083,2633,1483.5
PMEM,nt,read,sequential,4096,1048576,14336,14336,672126,2625,1487.81
PMEM,nt,read,sequential,4096,1052672,14336,14280,669203,2614,1494.31
PMEM,nt,read,sequential,8192,131072,14336,114688,395523,3090,2528.3
PMEM,nt,read,sequential,8192,135168,14336,111212,397293,3103,2517.03
PMEM,nt,read,sequential,8192,1048576,14336,14336,393921,3077,2538.57
PMEM,nt,read,sequential,8192,1052672,14336,14280,395150,3087,2530.68
PMEM,nt,read,sequential,16384,131072,14336,114688,182392,2849,5482.67
PMEM,nt,read,sequential,16384,135168,14336,111212,182521,2851,5478.82
PMEM,nt,read,sequential,16384,1048576,14336,14336,180459,2819,5541.4
PMEM,nt,read,sequential,16384,1052672,14336,14280,181709,2839,5503.28
PMEM,nt,read,sequential,32768,131072,14336,114688,90824,2838,11010.2
PMEM,nt,read,sequential,32768,135168,14336,111212,90560,2830,11042.4
PMEM,nt,read,sequential,32768,1048576,14336,14336,90728,2835,11021.9
PMEM,nt,read,sequential,32768,1052672,14336,14280,90342,2823,11069
PMEM,nt,read,sequential,65536,131072,14336,114688,46083,2880,21699.8
PMEM,nt,read,sequential,65536,135168,14336,111212,46167,2885,21660.3
PMEM,nt,read,sequential,65536,1048576,14336,14336,46090,2880,21696.4
PMEM,nt,read,sequential,65536,1052672,14336,14280,46023,2876,21727.8
PMEM,t,read,sequential,8,131072,14336,114688,2554568,19,391.456
PMEM,t,read,sequential,8,135168,14336,111212,2477797,18,403.584
PMEM,t,read,sequential,8,1048576,14336,14336,2518877,19,397.002
PMEM,t,read,sequential,8,1052672,14336,14280,2598068,19,384.901
PMEM,t,read,sequential,16,131072,14336,114688,2532325,38,394.894
PMEM,t,read,sequential,16,135168,14336,111212,2662970,40,375.52
PMEM,t,read,sequential,16,1048576,14336,14336,2507157,38,398.858
PMEM,t,read,sequential,16,1052672,14336,14280,2540224,38,393.666
PMEM,t,read,sequential,32,131072,14336,114688,2530314,77,395.208
PMEM,t,read,sequential,32,135168,14336,111212,2473198,75,404.335
PMEM,t,read,sequential,32,1048576,14336,14336,2463074,75,405.997
PMEM,t,read,sequential,32,1052672,14336,14280,2567607,78,389.468
PMEM,t,read,sequential,64,131072,14336,114688,2528255,154,395.53
PMEM,t,read,sequential,64,135168,14336,111212,2456256,149,407.124
PMEM,t,read,sequential,64,1048576,14336,14336,2503267,152,399.478
PMEM,t,read,sequential,64,1052672,14336,14280,2489596,151,401.671
PMEM,t,read,sequential,128,131072,14336,114688,2337063,285,427.887
PMEM,t,read,sequential,128,135168,14336,111212,2453006,299,407.663
PMEM,t,read,sequential,128,1048576,14336,14336,2284442,278,437.744
PMEM,t,read,sequential,128,1052672,14336,14280,2363401,288,423.119
PMEM,t,read,sequential,256,131072,14336,114688,2312673,564,432.4
PMEM,t,read,sequential,256,135168,14336,111212,2400038,585,416.66
PMEM,t,read,sequential,256,1048576,14336,14336,2308685,563,433.147
PMEM,t,read,sequential,256,1052672,14336,14280,2335703,570,428.137
PMEM,t,read,sequential,512,131072,14336,114688,2189204,1068,456.787
PMEM,t,read,sequential,512,135168,14336,111212,2155261,1052,463.981
PMEM,t,read,sequential,512,1048576,14336,14336,2137449,1043,467.847
PMEM,t,read,sequential,512,1052672,14336,14280,2252407,1099,443.969
PMEM,t,read,sequential,1024,131072,14336,114688,1798782,1756,555.932
PMEM,t,read,sequential,1024,135168,14336,111212,1944498,1898,514.271
PMEM,t,read,sequential,1024,1048576,14336,14336,1775658,1734,563.171
PMEM,t,read,sequential,1024,1052672,14336,14280,1936485,1891,516.399
PMEM,t,read,sequential,2048,131072,14336,114688,1202605,2348,831.528
